angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.00791318291197872,0.027262098352797,0.00586254687748161,0.0193489154408592,4,400,#5B0088,0.453,1.562,180.336,1.109,178.891,2
0.00791318291197872,0.0274168066097145,0.00588833158692548,0.0195036236977666,4,450,#0033FF,0.453,1.571,180.337,1.117,178.883,2
0.00791318291197872,0.0275338939425526,0.00590784614241292,0.0196207110305992,4,500,#00FF80,0.453,1.578,180.338,1.124,178.876,2
0.00791318291197872,0.0276264695868248,0.00592327541644018,0.0197132866748707,4,550,#92FF00,0.453,1.583,180.339,1.129,178.871,2
0.00791318291197872,0.0277024891927306,0.00593594535075125,0.0197893062807893,4,600,#FFB100,0.453,1.587,180.34,1.134,178.866,2
0.00791318291197872,0.027766783298062,0.00594666103501538,0.0198536003861099,4,650,#F60000,0.453,1.591,180.341,1.138,178.862,2
0.00791318291197872,0.0278184790278404,0.00595527698996857,0.0199052961158874,4,700,#A20000,0.453,1.594,180.341,1.14,178.86,2
0.0158263682925142,0.0545232114881138,0.0117249299634386,0.0386968431955958,4,400,#5B0088,0.907,3.124,180.672,2.217,177.783,2
0.0158263682925142,0.0548326343845664,0.0117765004461646,0.0390062660920476,4,450,#0033FF,0.907,3.142,180.675,2.235,177.765,2
0.0158263682925142,0.0550668139743671,0.0118155303778202,0.0392404456818488,4,500,#00FF80,0.907,3.155,180.677,2.248,177.752,2
0.0158263682925142,0.0552519692134526,0.011846389584337,0.0394256009209338,4,550,#92FF00,0.907,3.166,180.679,2.259,177.741,2
0.0158263682925142,0.0554040117075002,0.0118717300000246,0.039577643414983,4,600,#FFB100,0.907,3.174,180.68,2.268,177.732,2
0.0158263682925142,0.0555326027203849,0.0118931618354699,0.0397062344278687,4,650,#F60000,0.907,3.182,180.681,2.275,177.725,2
